_id,plot,genres,runtime,cast,num_mflix_comments,title,fullplot,countries,released,directors,rated,awards,lastupdated,year,imdb,type,tomatoes,poster,languages,writers
573a1390f29313caabcd4135,Three men hammer on an anvil and pass a bottle of beer around.,['Short'],1,"['Charles Kayser', 'John Ott']",1.0,Blacksmith Scene,"A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes.",['USA'],1893-05-09,['William K.L. Dickson'],UNRATED,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-26 00:03:50.133000000,1893,"{'rating': 6.2, 'votes': 1189, 'id': 5}",movie,"{'viewer': {'rating': 3.0, 'numReviews': 184, 'meter': 32}, 'lastUpdated': datetime.datetime(2015, 6, 28, 18, 34, 9)}",,,
573a1390f29313caabcd42e8,"A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.","['Short', 'Western']",11,"['A.C. Abadie', ""Gilbert M. 'Broncho Billy' Anderson"", 'George Barnes', 'Justus D. Barnes']",,The Great Train Robbery,Among the earliest existing films in American cinema - notable as the first film that presented a narrative story to tell - it depicts a group of cowboy outlaws who hold up a train and rob the passengers. They are then pursued by a Sheriff's posse. Several scenes have color included - all hand tinted.,['USA'],1903-12-01,['Edwin S. Porter'],TV-G,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-13 00:27:59.177000000,1903,"{'rating': 7.4, 'votes': 9847, 'id': 439}",movie,"{'viewer': {'rating': 3.7, 'numReviews': 2559, 'meter': 75}, 'fresh': 6, 'critic': {'rating': 7.6, 'numReviews': 6, 'meter': 100}, 'rotten': 0, 'lastUpdated': datetime.datetime(2015, 8, 8, 19, 16, 10)}",https://m.media-amazon.com/images/M/MV5BMTU3NjE5NzYtYTYyNS00MDVmLWIwYjgtMmYwYWIxZDYyNzU2XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SY1000_SX677_AL_.jpg,['English'],
573a1390f29313caabcd4323,"A young boy, opressed by his mother, goes on an outing in the country with a social welfare group where he dares to dream of a land where the cares of his ordinary life fade.","['Short', 'Drama', 'Fantasy']",14,"['Martin Fuller', 'Mrs. William Bechtel', 'Walter Edwin', 'Ethel Jewett']",2.0,The Land Beyond the Sunset,"Thanks to the Fresh Air Fund, a slum child escapes his drunken mother for a day's outing in the country. Upon arriving, he and the other children are told a story about a mythical land of no pain. Rather then return to the slum at day's end, the lad seeks to journey to that beautiful land beyond the sunset.",['USA'],1912-10-28,['Harold M. Shaw'],UNRATED,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-29 00:27:45.437000000,1912,"{'rating': 7.1, 'votes': 448, 'id': 488}",movie,"{'viewer': {'rating': 3.7, 'numReviews': 53, 'meter': 67}, 'lastUpdated': datetime.datetime(2015, 4, 27, 19, 6, 35)}",https://m.media-amazon.com/images/M/MV5BMTMzMDcxMjgyNl5BMl5BanBnXkFtZTcwOTgxNjg4Mg@@._V1_SY1000_SX677_AL_.jpg,['English'],['Dorothy G. Shore']
573a1390f29313caabcd446f,"A greedy tycoon decides, on a whim, to corner the world market in wheat. This doubles the price of bread, forcing the grain's producers into charity lines and further into poverty. The film...","['Short', 'Drama']",14,"['Frank Powell', 'Grace Henderson', 'James Kirkwood', 'Linda Arvidson']",1.0,A Corner in Wheat,"A greedy tycoon decides, on a whim, to corner the world market in wheat. This doubles the price of bread, forcing the grain's producers into charity lines and further into poverty. The film continues to contrast the ironic differences between the lives of those who work to grow the wheat and the life of the man who dabbles in its sale for profit.",['USA'],1909-12-13,['D.W. Griffith'],G,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-13 00:46:30.660000000,1909,"{'rating': 6.6, 'votes': 1375, 'id': 832}",movie,"{'viewer': {'rating': 3.6, 'numReviews': 109, 'meter': 73}, 'lastUpdated': datetime.datetime(2015, 5, 11, 18, 36, 53)}",,['English'],
573a1390f29313caabcd4803,"Cartoon figures announce, via comic strip balloons, that they will move - and move they do, in a wildly exaggerated style.","['Animation', 'Short', 'Comedy']",7,['Winsor McCay'],1.0,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics","Cartoonist Winsor McCay agrees to create a large set of drawings that will be photographed and made into a motion picture. The job requires plenty of drawing supplies, and the cartoonist must also overcome some mishaps caused by an assistant. Finally, the work is done, and everyone can see the resulting animated picture.",['USA'],1911-04-08,"['Winsor McCay', 'J. Stuart Blackton']",,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-29 01:09:03.030000000,1911,"{'rating': 7.3, 'votes': 1034, 'id': 1737}",movie,"{'viewer': {'rating': 3.4, 'numReviews': 89, 'meter': 47}, 'lastUpdated': datetime.datetime(2015, 8, 20, 18, 51, 24)}",https://m.media-amazon.com/images/M/MV5BYzg2NjNhNTctMjUxMi00ZWU4LWI3ZjYtNTI0NTQxNThjZTk2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SY1000_SX677_AL_.jpg,['English'],"['Winsor McCay (comic strip ""Little Nemo in Slumberland"")', 'Winsor McCay (screenplay)']"
573a1390f29313caabcd4eaf,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.","['Crime', 'Drama']",88,"['Jane Gail', 'Ethel Grandin', 'William H. Turner', 'Matt Moore']",2.0,Traffic in Souls,,['USA'],1913-11-24,['George Loane Tucker'],TV-PG,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-09-15 02:07:14.247000000,1913,"{'rating': 6.0, 'votes': 371, 'id': 3471}",movie,"{'viewer': {'rating': 3.0, 'numReviews': 85, 'meter': 57}, 'dvd': datetime.datetime(2008, 8, 26, 0, 0), 'lastUpdated': datetime.datetime(2015, 8, 10, 18, 33, 55)}",https://m.media-amazon.com/images/M/MV5BYzk0YWQzMGYtYTM5MC00NjM2LWE5YzYtMjgyNDVhZDg1N2YzXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SY1000_SX677_AL_.jpg,['English'],
573a1390f29313caabcd50e5,"The cartoonist, Winsor McCay, brings the Dinosaurus back to life in the figure of his latest creation, Gertie the Dinosaur.","['Animation', 'Short', 'Comedy']",12,"['Winsor McCay', 'George McManus', 'Roy L. McCardell']",1.0,Gertie the Dinosaur,"Winsor Z. McCay bets another cartoonist that he can animate a dinosaur. So he draws a big friendly herbivore called Gertie. Then he get into his own picture. Gertie walks through the picture, eats a tree, meets her creator, and takes him carefully on her back for a ride.",['USA'],1914-09-15,['Winsor McCay'],,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-08-18 01:03:15.313000000,1914,"{'rating': 7.3, 'votes': 1837, 'id': 4008}",movie,"{'viewer': {'rating': 3.7, 'numReviews': 29}, 'lastUpdated': datetime.datetime(2015, 8, 10, 19, 20, 3)}",https://m.media-amazon.com/images/M/MV5BMTQxNzI4ODQ3NF5BMl5BanBnXkFtZTgwNzY5NzMwMjE@._V1_SY1000_SX677_AL_.jpg,['English'],['Winsor McCay']
573a1390f29313caabcd516c,Original advertising for the film describes it as a drama of primitive life on the shores of the North Pacific...,"['Drama', 'History']",65,"['Stanley Hunt', 'Sarah Constance Smith Hunt', 'Mrs. George Walkus', ""Paddy 'Malid""]",1.0,In the Land of the Head Hunters,,['USA'],1914-12-07,['Edward S. Curtis'],,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-09-16 12:11:37.770000000,1914,"{'rating': 5.8, 'votes': 223, 'id': 4150}",movie,"{'viewer': {'rating': 2.7, 'numReviews': 64, 'meter': 18}, 'dvd': datetime.datetime(2000, 8, 15, 0, 0), 'website': 'http://www.milestonefilms.com/', 'production': 'World Film Corporation', 'lastUpdated': datetime.datetime(2015, 8, 18, 19, 21, 12)}",https://m.media-amazon.com/images/M/MV5BMjE3MjAyNzM5NV5BMl5BanBnXkFtZTgwMjA5OTg5NjE@._V1_SY1000_SX677_AL_.jpg,['English'],['Edward S. Curtis (story)']
573a1390f29313caabcd5293,"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",['Action'],199,"['Pearl White', 'Crane Wilbur', 'Paul Panzer', 'Edward Josè']",1.0,The Perils of Pauline,"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take possession of her inheritance. Meanwhile, her ""guardian"" and his confederates constantly come up with schemes to get rid of Pauline so that he can get his hands on the money himself.",['USA'],1914-03-23,"['Louis J. Gasnier', 'Donald MacKenzie']",,"{'wins': 1, 'nominations': 0, 'text': '1 win.'}",2015-09-12 00:01:18.647000000,1914,"{'rating': 7.6, 'votes': 744, 'id': 4465}",movie,"{'viewer': {'rating': 2.8, 'numReviews': 9}, 'production': 'Pathè Frères', 'lastUpdated': datetime.datetime(2015, 9, 11, 17, 46, 19)}",https://m.media-amazon.com/images/M/MV5BMzgxODk1Mzk2Ml5BMl5BanBnXkFtZTgwMDg0NzkwMjE@._V1_SY1000_SX677_AL_.jpg,['English'],"['Charles W. Goddard (screenplay)', 'Basil Dickey (screenplay)', 'Charles W. Goddard (novel)', 'George B. Seitz', 'Bertram Millhauser']"
573a1390f29313caabcd548c,"The Civil War divides friends and destroys families, but that's nothing compared to the anarchy in the black-ruled South after the war.","['Drama', 'History', 'Romance']",165,"['Lillian Gish', 'Mae Marsh', 'Henry B. Walthall', 'Miriam Cooper']",,The Birth of a Nation,"Two brothers, Phil and Ted Stoneman, visit their friends in Piedmont, South Carolina: the family Cameron. This friendship is affected by the Civil War, as the Stonemans and the Camerons must join up opposite armies. The consequences of the War in their lives are shown in connection to major historical events, like the development of the Civil War itself, Lincoln's assassination, and the birth of the Ku Klux Klan.",['USA'],1915-03-03,['D.W. Griffith'],NOT RATED,"{'wins': 2, 'nominations': 0, 'text': '2 wins.'}",2015-09-11 00:32:27.763000000,1915,"{'rating': 6.8, 'votes': 15715, 'id': 4972}",movie,"{'viewer': {'rating': 3.2, 'numReviews': 4358, 'meter': 57}, 'dvd': datetime.datetime(2004, 6, 29, 0, 0), 'critic': {'rating': 8.0, 'numReviews': 38, 'meter': 100}, 'lastUpdated': datetime.datetime(2015, 9, 10, 18, 30, 23), 'consensus': 'Racial depictions aside, The Birth of a Nation is a landmark film whose achievements and pioneering techniques remain fully relevant today.', 'rotten': 0, 'production': 'Gravitas', 'fresh': 38}",https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_SX677_AL_.jpg,,"['Thomas Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan"")', 'Thomas Dixon Jr. (play)', 'Thomas Dixon Jr. (novel)', 'D.W. Griffith', 'Frank E. Woods']"
